,0,1,2,3,4,5,6,7,8,9,10
HBV00000PVQ53,HBV00000PVQ53,HBV00000JIXZF,HBV00000NCH26,SGARPFTR12902,SGEC0816203,SGDEOFA80372,SGDEOFA80235,HBV00000PV5YE,HBV000000NC3K,AILEHIPPTR4253,HBV000006GA3V
HBV00000PVQ6T,HBV00000PVQ6T,SGDIL502433,HBV00000SP6ZI,HBV00000BP0LG,SGJOH13007,ZYBENC0396606,ZYBENC279787,ZYBENC279931,HBV00000SP6WN,ZYUNIL20040351,HBV000008RAID
HBV00000PVQWZ,HBV00000PVQWZ,SG109303,HBV00000PQOQQ,HBV00000PVAJN,HBV00000K07YB,HBV00000AIMMM,HBV00000IGQ6J,HBV00000K0807,HBV00000PV9WN,HBV00000LZI67,KDOGAN34182
HBV00000PVR1C,HBV00000PVR1C,HBV00000PVQ5L,HBV00000PVQ5H,HBV00000NFRV6,HBV00000AX6LR,ZYHPFERROBCK001,ZYBAN8690555730198,ZYBAR0869057999061,ZYBAR0869057999063,ZYCOCA2254,ZYHEN100704960
HBV00000QU463,HBV00000QU463,HBV00000SP72C,HBV00000NE1QW,HBV00000PQLA8,HBV00000NE1QM,HBV00000NE1QG,HBV000004FYGS,HBV00000SP76U,ZYSULKEN283,ZYHPDROETTTL048,HBV00000IY33K
HBV00000SF25J,HBV00000SF25J,HBV00000SPBJT,SGLIST203607,HBV00000SPBBZ,HBV00000PQP2N,HBV00000U2B0T,HBV00000PQP2P,HBV00000PVQCT,HBV00000U27LJ,HBV00000PVPX4,HBV00000SP7ZQ
HBV00000SP6XD,HBV00000SP6XD,HBV000000NBYH,HBV00000PLGDP,HBV00000QX26G,HBV00000NG8K0,HBV00000QX1ZJ,HBV00000O2SJQ,HBV00000QU3ZB,HBV00000OE94H,HBV00000QU3ZH,HBV00000QU3Z9
HBV00000SP80N,HBV00000SP80N,HBV00000SP80J,HBV00000U27H9,HBV00000NFH1O,HBV00000NE1LI,HBV00000NVZJ0,HBV00000PQL8J,HBV00000SP778,ZYHPDOGANSOS001,HBV00000NFH1M,HBV00000SP80L
HBV00000SP84O,HBV00000SP84O,HBV00000SPBDA,HBV00000O2SFA,HBV00000PV5W6,HBV00000NFMKI,ZYHPREISBBKL021,HBV00000PQK9A,HBV00000LR9GK,OTFALFA1159,HBV00000PV5W3,SGSER211236
HBV00000SP85G,HBV00000SP85G,HBV00000SPIFZ,HBV00000PQKQP,HBV00000NG8L9,HBV00000PQK34,HBV00000PVBND,HBV00000PQKYY,HBV00000PQKFI,HBV00000PV67H,HBV00000PV72X,HBV00000QU49S
HBV00000SP86H,HBV00000SP86H,HBV000009BUG7,ZYHPDROETPDN001,SGJOH76303,HBV00000SPIF3,HBV000007M8BX,SGJOH33538,HBV00000JUHKQ,HBV00000SPIEZ,HBV00000SP86F,SGJOH76136
HBV00000SP88B,HBV00000SP83B,HBV00000SP88B,HBV00000PQKCM,HBV00000OELC0,HBV00000QU449,HBV00000OEL9W,HBV00000OELBW,HBV00000OELBY,ZYPINAR153103445,HBV00000OE7QQ,HBV00000OELDI
HBV00000TDAVT,HBV00000TDAVT,HBV00000PQLOE,ZYHPTAMEKSBZ029,HBV00000NVZBC,HBV000006IYIT,HBV00000QX235,HBV00000PVR58,HBV00000QU3ZL,HBV00000QX259,HBV00000QU413,HBV00000SPIEN
HBV00000TDWFG,HBV00000TDWFG,HBV00000TDWF9,HBV00000UOI6O,HBV00000NE0QM,HBV00000PVBKE,ZYSLE060307,HBV00000KA97M,HBV00000PQKMJ,HBV00000PNGGG,ZYBAR8690579224123,HBV00000JRBH1
HBV00000TIRUD,HBV00000TIRUD,HBV000006IYDJ,HBV00000PLGSG,HBV00000NE1C6,HBV00000P7VN8,HBV00000TNRPK,HBV00000NE19D,HBV00000NE0SQ,HBV00000O2SGQ,HBV00000J22NW,HBV00000QU3XD
HBV00000U2AY5,HBV00000U2AY5,HBV00000PQKZU,HBV00000QUFR0,HBV00000QX2LT,HBV00000PV6XB,HBV00000PVCVV,HBV00000PQLXR,HBV00000PNG8D,HBV00000PQLHD,HBV00000PQLI6,HBV00000PNGIU
OFISED344PVC41,OFISED344PVC41,HBV00000PV7OW,HBV0000098GHD,OFISPNSN1080-KRS,HBV000004HJYR,HBV00000D6JTD,HBV00000AL4M4,HBV0000098GHN,OFIS919261,HBV00000PV5VU,HBV00000PVQTZ
OFISVAR4906121414,OFISVAR4906121414,SGSEBAHAIRLOSS,OFISVAR4903121414,SGNRAMBR59,HBV00000NFRV6,HBV00000PVQ5L,HBV00000SPBKZ,HBV00000O2SHK,HBV00000PVQ5H,HBV00000JHIE0,HBV00000OE7KS
SG109308,SG109308,HBV00000PV7AZ,HBV00000IKMZJ,HBV00000JBL0H,HBV00000PVAMC,HBV00000JUHLE,HBV00000DBTR6,SGOB022617,SGSER211248,SGTRN8699522004454,HBV00000PV7AL
SGARPFTR12990,SGARPFTR12990,HBV00000IKMYN,HBV00000NE174,HBV00000P7ZHG,HBV00000PQIXX,HBV00000NE25T,ZYONCU21195843,HBV00000NG8KU,HBV00000GHB1N,HBV00000OE7O4,HBV00000NE158
SGCOL048019,SGCOL048019,HBV0000049XWS,OFISARTI82964,HBV00000NE1QU,HBV00000NE1QY,ZYHPDROETTTL041,OFISBIC829735,HBV00000C9VLV,HBV00000E8NVO,OFIS829770,MTFID51368
SGGIL016808,SGGIL016808,HBV00000AX6LR,ZYHPFERROBCK001,ZYBAN860031,ZYBAN8690555730198,ZYBAR0869057999061,ZYBAR0869057999063,ZYCOCA2254,ZYHEN100704960,ZYHPDROETTIC303,ZYHPREISBBKL009
SGLOREAL80082,SGLOREAL80082,HBV00000TWJKO,HBV00000QU6G0,HBV00000PVAMF,HBV00000PV9D1,HBV00000U274O,HBV00000PVPX4,HBV000009OI6Y,HBV00000U2B46,HBV00000GE2TQ,HBV00000SP74Y
ZYBAR7300400112734,ZYBAR7300400112734,HBV00000OE95O,HBV00000GNAXL,HBV00000PLHBZ,HBV00000PVCRF,HBV00000NE11I,HBV00000PQIIS,HBV00000QU44E,HBV00000PQJHD,HBV00000PV7KA,ZYBAR7300400127394
ZYBICN9287642,ZYBICN9287642,SPORBRSVOITDMBL-3,ZYHPCOCACEIC007,HBV00000LML3F,HBV00000NFHJV,HBV00000NE11M,HBV00000OE8B7,ZYBICN9286653,HBV00000SP87N,HBV00000OE8A3,ZYHPDROETTTL082
ZYDOGUS110460,ZYDOGUS110460,HBV00000HM95H,ZYHPDOGUSPCY025,ZYMRKT001330,HBV00000SP7ZO,HBV00000U2B9S,HBV00000PLGUE,HBV00000NE18P,ZYBICN9287655,HBV00000OEL7I,HBV00000PQLNY
ZYHPPEPSIGZS019,ZYHPPEPSIGZS019,ZYHPDROETTTL082,ZYBICN9286872,HBV00000QU3W8,HBV00000NFHE5,ZYBICN9286805,ZYDOGUS86907191003,ZYBICN9310832,ZYHPPEPSIGZS028,HBV00000PNGJ8,ZYBICN9286428
ZYHPSOLENKEK002,ZYHPSOLENKEK002,ZYHPCOCACCOL016,HBV00000PQLJ6,HBV00000OE8AW,HBV00000NFGWH,HBV00000PQJNJ,HBV00000PQP69,HBV00000PV7PJ,HBV00000QU424,HBV00000PQLXP,HBV00000PVCBT
ZYIDP80050100,ZYIDP80050100,HBV00000PNGF2,HBV00000PQJMC,HBV00000QX1TZ,HBV00000U2B4M,HBV00000PQLU9,HBV000004FYGS,HBV00000SP8BR,HBV00000PQLA8,HBV00000NE1QM,HBV00000PV5M5
ZYKOM8699300270002,ZYKOM8699300270002,HBV00000PNGB2,HBV00000PLGO2,HBV00000O2SHB,HBV00000MKEF7,HBV00000UIYEF,HBV00000PLGC9,HBV00000PLGXM,HBV00000D1Q18,ZYBICN9286588,HBV00000NG8H4
ZYPINAR153100005,ZYPINAR153100005,HBV00000PQJWQ,HBV00000QU41H,HBV00000PQLJO,HBV00000PQLL6,HBV00000PQK4S,HBV00000PLGKS,ZYBICN9286406,ZYHPDROETTTL005,HBV00000PVAXN,HBV00000PUQDQ
AILEDALIN275114,AILEDALIN275114,AILEDALIN275105,HBV00000PQJZY,SGGSK002238,HBV00000UIYEB,HBV00000NS63O,HBV00000CIY33,HBV00000EZPNW,ZYSLE326203,HBV00000NFH24,HBV00000IKN0D
AILEHYT5313,AILEHYT5313,ZYHPDANONSSU009,HBV00000NH2H3,HBV00000NGA0C,HBV00000NFMQI,OFISBUBU00106,ZYGUR204735,OFISBUBU00107,ZYLINSALNDT005,HBV00000U27JU,HBV00000PQOZP
HBV000006IYOS,HBV000006IYOS,HBV000003RHDD,HBV00000PQJLX,HBV00000PV63P,ZYHPSOLENKGF005,HBV00000NG8O1,HBV00000PVPZX,HBV00000PV7OW,ZYHPFERROBCK001,HBV00000PVBEX,OFISBUBU00104
HBV000008RAID,HBV000008RAID,HBV00000SP83F,SGLEPETIT4305,HBV00000FZHV4,HBV00000DB6J5,HBV0000008R1M,PTTEMPO129439,SGJOH12901,SGSER211248,HBV00000QU405,HBV00000HI662
HBV00000H9NXO,HBV00000H9NXO,HBV00000OE7AF,HBV00000O2SEZ,HBV00000NFH4L,HBV00000PVBYJ,HBV00000NVZ95,HBV00000OMH0G,HBV00000NVZ62,ZYHPULKERCRB001,HBV00000O2SB5,HBV00000PVCWH
HBV00000LR9GO,HBV00000LR9GO,HBV00000NFHAZ,HBV000008SJNM,ZYSLE320171,HBV00000NGSSD,HBV00000PQLDC,HBV00000QX21B,HBV00000QU42F,HBV00000PQM3M,HBV00000LR9GM,SGSERBOSLSTW500
HBV00000NE0T0,HBV00000NE0T0,HBV00000PV5M5,HBV00000QS9Q2,HBV00000PVB86,HBV00000PQK9I,HBV00000PVB77,ZYPAKMYTTL005,HBV00000NCH3L,HBV00000NFMJQ,ZYPAREX2107301,HBV00000PVBIQ
HBV00000NE0T8,HBV00000NE0T8,HBV00000PVCIJ,HBV00000PQJPI,HBV00000NE0XK,HBV00000NE0TA,HBV00000PQIYH,HBV00000PQLOT,HBV00000NGST8,ZYCOCA012005,HBV00000QU443,HBV00000PQOVZ
HBV00000NE0ZA,HBV00000NE0ZA,SGARPFTR12900,HBV00000U278C,HBV00000SP6W7,HBV00000NFRVC,AILEMLP1451,SGHPLOREASBY112,HBV00000PV8XY,HBV00000PV9HB,HBV00000NFGWN,SGDEGVEETSHKRSNSTV
HBV00000NE170,HBV00000NE170,HBV00000PVQCT,HBV000009GW48,HBV00000NFMJQ,HBV00000SP6UT,HBV00000U2B46,HBV00000NE16Q,HBV00000PVQCV,HBV00000U2B42,HBV00000NFHKT,HBV00000SF25D
