,0,1,2,3,4,5,6,7,8,9,10
HBV00000AX6LR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBV00000BSAQG,0.9999999999999998,0.7071067811865475,0.4999999999999999,0.408248290463863,0.408248290463863,0.2886751345948129,0.12549116102763172,0.08770580193070292,0.0870388279778489,0.05538487756217113,0.04385290096535146
HBV00000JUHBA,1.0,0.1569569852658062,0.1260252075625209,0.11866090178283653,0.11669000700233413,0.11651034560709261,0.1143323900950059,0.10846522890932808,0.10188534162169867,0.09901475429766741,0.09901475429766741
HBV00000NE0QI,1.0000000000000002,0.2574583390523066,0.14341432155294379,0.11476173498738439,0.10341753799900383,0.09440686400617013,0.07888380284314771,0.07783726635457806,0.07312724241271307,0.07312724241271307,0.07312724241271307
HBV00000NE0UQ,0.9999999999999993,0.13608276348795434,0.13608276348795434,0.10087125544480041,0.09622504486493763,0.09622504486493762,0.09622504486493762,0.08439494725697222,0.08206099398622183,0.07856742013183862,0.06804138174397717
HBV00000NE1NR,0.9999999999999997,0.12166606584807187,0.11470786693528087,0.10375716957991118,0.100050610735814,0.08111071056538126,0.062247228601102544,0.057353933467640436,0.0512989176042577,0.0468292905790847,0.03823595564509362
HBV00000NH2LJ,0.9999999999999999,0.2715618150587326,0.21826456014607126,0.20241022618818405,0.20241022618818405,0.1871283203076312,0.14312564351916787,0.1226791230164296,0.12053353564354899,0.11804804116247142,0.11686159857648114
HBV00000NVZ7D,1.0,0.5850179393017045,0.4150286783196448,0.30578831486257535,0.2849014411490949,0.251259453814803,0.23544080467400558,0.2279211529192759,0.22395700438234173,0.21320071635561041,0.21320071635561041
HBV00000NVZCG,1.0000000000000016,0.14872849004765742,0.12944184758256835,0.12615047848452662,0.12013686872814457,0.11302495644641516,0.10681444645033722,0.10619408495456382,0.10486512113595586,0.10297118179751655,0.09284766908852592
HBV00000OEL9Q,1.0000000000000002,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.22360679774997896,0.20225995873897262,0.15811388300841894,0.15811388300841894,0.15811388300841894,0.12909944487358058
HBV00000OFHWS,1.0000000000000002,0.1684303842133038,0.16539535392599136,0.14887283354385344,0.14586499149789456,0.14586499149789456,0.14586499149789456,0.14586499149789456,0.14586499149789456,0.14586499149789456,0.14586499149789456
HBV00000OMGZY,0.9999999999999997,0.6546536707079772,0.1690308509457033,0.16718346377260584,0.14285714285714282,0.1259881576697424,0.10482848367219183,0.10482848367219183,0.10101525445522107,0.0861460984507896,0.08451542547285165
HBV00000PLHEY,1.0,0.8164965809277261,0.8164965809277261,0.8,0.7745966692414834,0.6324555320336759,0.6030226891555273,0.5547001962252291,0.4588314677411235,0.4472135954999579,0.4472135954999579
